Subject,Block,WaitTime,Accuracy
16001,1,none,1
16001,1,short,1
16001,1,medium,1
16001,1,long,0.8571428571428571
16001,2,none,1
16001,2,short,1
16001,2,medium,1
16001,2,long,1
16001,3,none,1
16001,3,short,1
16001,3,medium,1
16001,3,long,1
16002,1,none,1
16002,1,short,1
16002,1,medium,1
16002,1,long,1
16002,2,none,1
16002,2,short,1
16002,2,medium,1
16002,2,long,0.8571428571428571
16002,3,none,1
16002,3,short,1
16002,3,medium,1
16002,3,long,0.7142857142857143
16004,1,none,0
16004,1,short,0.7142857142857143
16004,1,medium,1
16004,1,long,0.7142857142857143
16004,2,none,0
16004,2,short,0.5714285714285714
16004,2,medium,0.7142857142857143
16004,2,long,0.8571428571428571
16004,3,none,1
16004,3,short,0.7142857142857143
16004,3,medium,0.7142857142857143
16004,3,long,0.8571428571428571
16007,1,none,1
16007,1,short,1
16007,1,medium,1
16007,1,long,1
16007,2,none,1
16007,2,short,1
16007,2,medium,0.8571428571428571
16007,2,long,1
16007,3,none,1
16007,3,short,0.8571428571428571
16007,3,medium,0.42857142857142855
16007,3,long,0.8571428571428571
16009,1,none,0
16009,1,short,1
16009,1,medium,0.8571428571428571
16009,1,long,0.8571428571428571
16009,2,none,1
16009,2,short,0.8571428571428571
16009,2,medium,0.7142857142857143
16009,2,long,0.7142857142857143
16009,3,none,1
16009,3,short,1
16009,3,medium,1
16009,3,long,0.7142857142857143
16011,1,none,1
16011,1,short,1
16011,1,medium,0.7142857142857143
16011,1,long,1
16011,2,none,1
16011,2,short,0.8571428571428571
16011,2,medium,0.7142857142857143
16011,2,long,0.8571428571428571
16011,3,none,1
16011,3,short,1
16011,3,medium,1
16011,3,long,0.5714285714285714
16012,1,none,1
16012,1,short,1
16012,1,medium,1
16012,1,long,0.8571428571428571
16012,2,none,1
16012,2,short,1
16012,2,medium,0.8571428571428571
16012,2,long,0.7142857142857143
16012,3,none,1
16012,3,short,0.8571428571428571
16012,3,medium,1
16012,3,long,0.8571428571428571
16014,1,none,1
16014,1,short,1
16014,1,medium,0.8571428571428571
16014,1,long,0.8571428571428571
16014,2,none,1
16014,2,short,1
16014,2,medium,1
16014,2,long,1
16014,3,none,1
16014,3,short,1
16014,3,medium,1
16014,3,long,0.8571428571428571
16015,1,none,1
16015,1,short,1
16015,1,medium,1
16015,1,long,1
16015,2,none,1
16015,2,short,0.8571428571428571
16015,2,medium,0.7142857142857143
16015,2,long,1
16015,3,none,1
16015,3,short,0.8571428571428571
16015,3,medium,1
16015,3,long,0.8571428571428571
16019,1,none,1
16019,1,short,1
16019,1,medium,1
16019,1,long,0.8571428571428571
16019,2,none,1
16019,2,short,1
